Library, Design Unit ,Compile time , Hardware Gen ,Optimization Stg1 ,Optimization Stg2 , Peak Mem Usage, Incr Mem Usage, Hardware Gen ,Optimization Stg1 ,Optimization Stg2
work, uart0_ipgen_lscc_uart_intface_Z344_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   594 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, tse_mac0_ipgen_lscc_tse_mac_core_Z334_layer0,0h:00m:02s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   594 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, tse_mac0_ipgen_lscc_cpu_if_Z321_layer0,0h:00m:01s,0h:00m:00s,0h:00m:00s,0h:00m:01s,   643 MB,    32 MB,     0 MB,     7 MB,    24 MB
work, tse_mac0_ipgen_mac_phy_top_Z320_layer0,0h:00m:08s,0h:00m:08s,-,0h:00m:00s,   643 MB,     8 MB,     8 MB,     0 MB,     0 MB
work, lscc_ram_dp_true_inst_Z285_layer0,0h:00m:08s,0h:00m:07s,-,0h:00m:00s,   643 MB,    87 MB,    87 MB,     0 MB,     0 MB
work, sysmem0_ipgen_lscc_mem_Z284_layer0,0h:00m:08s,0h:00m:08s,0h:00m:00s,0h:00m:00s,   643 MB,    91 MB,    91 MB,     0 MB,     0 MB
work, sysmem0_ipgen_lscc_sys_mem_Z282_layer0,0h:00m:09s,0h:00m:09s,-,0h:00m:00s,   643 MB,    94 MB,    94 MB,     0 MB,     0 MB
work, mpmc0_ipgen_fifo_wrapper_Z246_layer0,0h:00m:01s,0h:00m:01s,-,0h:00m:00s,   672 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, mpmc0_ipgen_fifo_interface_Z245_layer0,0h:00m:05s,0h:00m:05s,0h:00m:00s,0h:00m:00s,   672 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, mpmc0_ipgen_upsizer_Z238_layer0,0h:00m:04s,0h:00m:03s,-,0h:00m:00s,   672 MB,     2 MB,     2 MB,     0 MB,     0 MB
work, mpmc0_ipgen_width_converter_Z237_layer0,0h:00m:04s,0h:00m:04s,-,0h:00m:00s,   672 MB,     2 MB,     2 MB,     0 MB,     0 MB
